severity,package,version,advisory,fixed_in,summary,url
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,js-yaml,4.1.1,GHSA-2883-xcg3-v3hh,4.3.2 | 3.15.2,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,https://osv.dev/GHSA-2883-xcg3-v3hh
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
HIGH,nanoid,3.3.11,GHSA-xwg4-73v4-xw9w,3.3.12 | 5.1.11,nanoid: Integer Overflow or Wraparound,https://osv.dev/GHSA-xwg4-73v4-xw9w
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
